year,model,est_link,se_link,est,lwr,upr
1978,Combined,8.073278258633996,0.7652735602637751,3207.599954134921,715.7579710220111,14374.54821645282
1979,Combined,7.254814831778096,0.8241350674124522,1414.9009841710924,281.32486356124207,7116.131754819173
1980,Combined,8.431754533784702,0.7226265852752826,4590.547301678149,1113.6591750077553,18922.418098695038
1981,Combined,8.659589359963203,0.574020039393711,5765.16676806621,1871.5272406425347,17759.371673480946
1982,Combined,7.054300185881798,0.5886018221687246,1157.8269240685242,365.27139105442023,3670.0470360632594
1983,Combined,7.588410509187425,0.5489114330871778,1975.1715003538397,673.5377874314264,5792.254760772771
1984,Combined,6.631295848602035,0.7151973404182642,758.4643891194753,186.701122226185,3081.225344031151
1985,Combined,7.1874179541003285,0.6518846898507631,1322.683562999607,368.604392542843,4746.25870777161
1986,Combined,8.840852827770782,0.6400375617572553,6910.883921603094,1971.1634018329182,24229.50656118179
1987,Combined,6.986145517879856,0.5710383457557735,1081.544637115548,353.15616758680176,3312.242314969323
1988,Combined,6.734264041830867,0.5102445300165201,840.7245182713801,309.2607471579716,2285.5073659302743
1989,Combined,6.1087688532059214,0.5376917799473376,449.7846232564203,156.78774759248478,1290.3189848976242
1990,Combined,8.038411759348424,0.3948292126486077,3097.6894050458864,1428.737551995747,6716.1947530039515
1991,Combined,7.594354631829358,0.43923988423222893,1986.9471251979953,840.0357569543627,4699.750987560714
1992,Combined,6.975405539881995,0.32184760465102086,1069.9910253335045,569.4006035199392,2010.6771703731658
1993,Combined,6.983017545392691,0.30076571673884334,1078.1668807655321,597.955741644963,1944.0298701402548
1994,Combined,7.09398125810428,0.30086012299876774,1204.6944654178883,668.0048386688773,2172.57221953729
1995,Combined,7.293325189252173,0.31424976694129114,1470.4521084449589,794.2479134266734,2722.3608229596516
1996,Combined,6.988403490753435,0.3069359520756031,1083.989494740071,593.9582464291735,1978.309471702825
1997,Combined,6.572793417922329,0.33033513844680473,715.3653691093165,374.4044186810796,1366.8311210739714
1998,Combined,6.573821491957916,0.3462010386361556,716.1011958486285,363.31399349700695,1411.4538164631979
1999,Combined,7.059592580248243,0.33717375668412664,1163.970844442931,601.0823922970469,2253.9807255635787
2000,Combined,6.995477411551898,0.32302478611474694,1091.6847362473432,579.6061555704293,2056.181688033532
2001,Combined,6.265151518395649,0.3413255375750074,525.9212666691903,269.38820074647793,1026.7457073787293
2002,Combined,6.630534922865938,0.32503416926106865,757.8874735686634,400.8021648643571,1433.109581098901
2003,Combined,6.631629199724224,0.3512780548392098,758.7172662208201,381.1237830435027,1510.4066334162305
2004,Combined,6.440861672685452,0.3487318141920649,626.9467900548785,316.5076199193565,1241.873031872866
2005,Combined,5.947495958897773,0.3627343976328626,382.7936070326867,188.01778126182703,779.3462118406825
2006,Combined,6.336539988706331,0.34279535715636733,564.8385785849108,288.490191954819,1105.9045636733063
2007,Combined,6.149144423456695,0.3495171056073158,468.3165346851249,236.06115350184837,929.0828813041724
2008,Combined,5.897870713752264,0.358399643214567,364.26102553244215,180.44164210377014,735.3407626696285
2009,Combined,6.33905730681094,0.34736963742108334,566.2622481277184,286.6359138236959,1118.676753994913
2010,Combined,5.850417361967437,0.34303340977335933,347.3793331496947,177.34054706987916,680.4557846095788
2011,Combined,6.1529804682021405,0.3677902834651409,470.11646797231964,228.63149439099726,966.6625066134005
2012,Combined,6.411250630643697,0.36773384465502706,608.6544071216276,296.0393234873758,1251.388440375144
2013,Combined,6.459815339670557,0.3540082297087205,638.9430582394532,319.24512015062027,1278.7923946332312
2014,Combined,6.640820392062737,0.3655310373408968,765.7229284209416,374.04628965043577,1567.5375463756036
2015,Combined,7.061606731444277,0.3529446214552874,1166.3176202987454,583.9616269499426,2329.4283881703304
2016,Combined,6.392546178575874,0.36041694000221186,597.3756700625034,294.7504234835631,1210.7113773240274
2017,Combined,6.517281334418549,0.33950405100877656,676.7360631026702,347.87853950534384,1316.4701098116063
2018,Combined,6.0489130540125124,0.3441470496464533,423.6522925322727,215.8070748775829,831.6746106199789
