year,model,est_link,se_link,est,lwr,upr
1955,Combined,5.192867861586705,0.3934528333377021,179.9839826380665,83.23769484323961,389.1774522020034
1956,Combined,5.3828519797998835,0.339691429823214,217.64210201691589,111.83860188134031,423.53967032419365
1957,Combined,5.032796406502008,0.35815639318418085,153.3612740840744,76.00581692627398,309.4457942805193
1958,Combined,5.979543990825035,0.3510861310453699,395.26008482784334,198.62431456998965,786.5629895128606
1959,Combined,5.390208566147568,0.36006630630887526,219.2491087276008,108.25381467809102,444.0506029352517
1960,Combined,4.767219803220259,0.343192608383035,117.59185856990213,60.01306513631968,230.41391354555736
1961,Combined,4.124723068731494,0.3485986325901454,61.85067849160334,31.232828865307155,122.48350754167468
1962,Combined,4.589464955390827,0.35168252870336736,98.44174534367549,49.410709842725325,196.12705944024847
1963,Combined,4.810728734411919,0.3391840933142046,122.82108886684665,63.176216651142234,238.77687949781816
1964,Combined,5.492816084614072,0.33513520879446157,242.94038514327787,125.95832211616674,468.5679337577408
1965,Combined,5.420411019726327,0.3197224487120776,225.97198235945632,120.75395193661375,422.87093707928204
1966,Combined,5.334387576121258,0.3095686259544584,207.34572644211605,113.0277167094442,380.36909463832905
1967,Combined,5.568304096702642,0.32087013071576825,261.9894135645696,139.6862226602952,491.3759675986791
1968,Combined,4.647202524892659,0.3154510937254098,104.29282053611237,56.20009128524016,193.54047594286325
1969,Combined,4.228069417657608,0.31014191743812397,68.58469587607686,37.34470966876929,125.95788132067626
1970,Combined,4.036499681683467,0.31824183332431827,56.62778023572151,30.34845737487617,105.66288278889027
1971,Combined,4.429909763252826,0.3143969143677911,83.92384355392377,45.31743382458064,155.4194693399247
1972,Combined,5.320119963330321,0.3165672189308566,204.40840203483944,109.9085014033072,380.15980828557895
1973,Combined,5.115539829439758,0.31935728930619084,166.59068727148335,89.08576366338406,311.52516344193333
1974,Combined,5.607004230145384,0.3225559827321513,272.3271851927347,144.71908289827553,512.455540138596
1975,Combined,5.458056342624611,0.31842816218330533,234.64091931085966,125.70490605978482,437.9810044077416
1976,Combined,5.258348457141872,0.3111733814897052,192.16386222618064,104.42286129752922,353.62898015663046
1977,Combined,4.812399308521932,0.3171791142347618,123.02644207919253,66.07088921436464,229.07979036816513
1978,Combined,4.7883838421447305,0.31357523010581845,120.10709968820106,64.96030500635842,222.06969924324483
1979,Combined,5.137508399647184,0.3132506885286889,170.29094232082778,92.16100023480747,314.6559278071194
1980,Combined,5.0779606996707365,0.30900574712099077,160.44652342549614,87.55870085205406,294.00946597900975
1981,Combined,4.8346496663158725,0.3148343148124846,125.79450543382774,67.86866287696388,233.16000237146878
1982,Combined,4.667129578704017,0.3197101500960136,106.39191409840564,56.8546314351972,199.09089373702426
1983,Combined,4.741656048138965,0.3139719831943091,114.62386723118,61.946490817927106,212.09645236641728
1984,Combined,4.4427381255210845,0.31985857760764336,85.00738418833929,45.413767746813676,159.12036646752176
1985,Combined,4.105754118778785,0.32390024098057196,60.68849362801865,32.16598881856667,114.50272148052628
1986,Combined,4.493269960150823,0.31536820393232223,89.41334644677953,48.189843372693886,165.90106884103156
1987,Combined,6.100982522580218,0.30210794604918345,446.2960506842248,246.86730074757935,806.8308935738593
1988,Combined,5.711784366178446,0.3020316931251411,302.41019766635713,167.30228193074586,546.6268995091255
1989,Combined,5.204560129274307,0.3025395167276315,182.10075435823202,100.64330945347791,329.48722491250743
1990,Combined,4.785524415532091,0.29984098252430436,119.76415280038484,66.54218382501247,215.5542765730869
1991,Combined,4.937454547256206,0.297438611361179,139.41492341956553,77.82594578655991,249.74345863253092
1992,Combined,4.834039313923119,0.28923067576591377,125.71774988279091,71.31788870442394,221.61273872107174
1993,Combined,4.927943990375162,0.28137509298828195,138.09529500761448,79.55501605088395,239.71223248880455
1994,Combined,4.242882645727817,0.29532372425572284,69.60821874098431,39.01897811827468,124.17813971461759
1995,Combined,3.8173465072337924,0.2961194293024522,45.48335829220812,25.456024290268196,81.26704539358302
1996,Combined,3.852636078499475,0.2977312321272678,47.11710405403204,26.2872193167491,84.45250399778797
1997,Combined,3.973835737367456,0.2993913683936403,53.188155860907315,29.577935329883914,95.6449424996181
1998,Combined,3.4701954804442954,0.30703482132787724,32.14302516349878,17.608948857604297,58.673239102238995
1999,Combined,2.994377426337609,0.31166620952802,19.972921403495054,10.842912661858737,36.790630140684605
